project_manager,employee_id,hire_date,Salary/Rate,employee_type,termination_date,Department/Team
Mr. Donald Levy,SUP1584,08/08/2024,648,contract,,Web Development
Mr. Fernando Ramos DVM,SUP9386,29/12/2020,108674,fixed term,,Database Administration
Mr. Hayden Schneider,SUP3426,30/06/2021,521,contract,,Training and Documentation
Mr. Johnny Mcdaniel PhD,SUP8117,10/07/2023,104104,permanent,,Web Development
Mr. Justin Matthews Jr.,SUP5888,14/01/2022,468,contract,,Network and Infrastructure
Mr. Kenneth Gardner,SUP1058,17/08/2022,111788,fixed term,,Business Analysis
Mr. Kevin Camacho PhD,SUP5594,26/12/2023,616,contract,,IT Operations
Mr. Michael Anderson,SUP4264,10/03/2023,99523,fixed term,,Network and Infrastructure
Mr. Michael Pitts,SUP1695,14/08/2023,101475,permanent,,IT Operations
Mr. Ray Pace,SUP7588,01/01/2024,117562,permanent,,Training and Documentation
Mr. Robert Cole,SUP5408,20/09/2020,118652,permanent,,IT Support/Helpdesk
Mr. Robert Hancock,SUP2410,22/05/2024,465,contract,,Quality Assurance (QA)
Mr. Ronald Ortiz MD,SUP8971,10/01/2021,419,contract,,Project Management Office (PMO)
Mr. Ryan Fischer,SUP6988,19/03/2021,111059,permanent,,Web Development
Mr. Scott Martin,SUP3894,30/01/2024,92795,fixed term,,Business Analysis
Mr. Trevor Cook,SUP4710,14/04/2024,110640,fixed term,,Quality Assurance (QA)
Mr. William Green,SUP5433,04/10/2023,90667,permanent,,Cybersecurity
Mrs. Angela Bennett,SUP2520,08/07/2023,106327,fixed term,,Database Administration
Mrs. Heather Robertson,SUP2606,26/02/2021,98095,permanent,,IT Operations
Mrs. Kimberly Hudson,SUP8916,17/11/2020,100118,permanent,,Database Administration
Mrs. Patricia Long,SUP7630,26/08/2022,98179,permanent,,Mobile Development
Mrs. Stephanie Wilson,SUP9816,01/12/2022,93205,fixed term,,Cybersecurity
Mrs. Susan Booker,SUP3045,29/06/2022,576,contract,,Training and Documentation
Mrs. Tina Taylor,SUP1921,23/12/2021,118952,permanent,,Training and Documentation
Mrs. Tracy Morris,SUP8837,14/03/2022,102196,fixed term,,Quality Assurance (QA)
Mrs. Veronica Wells,SUP8603,09/02/2023,107004,permanent,,Cybersecurity
Ms. Jamie White,SUP2043,30/06/2022,102161,fixed term,,Business Analysis
Ms. Karen Morton MD,SUP2577,26/03/2022,587,contract,,IT Support/Helpdesk
Nancy Fields,SUP8907,04/02/2022,621,contract,,Database Administration
Nancy Henderson,SUP8047,22/02/2022,90491,permanent,,Mobile Development
Nancy Horn,SUP4022,09/07/2021,105251,permanent,,Business Analysis
Nancy Hudson,SUP1326,13/06/2023,103764,permanent,,Network and Infrastructure
Nancy Maldonado,SUP4006,30/01/2022,601,contract,,Quality Assurance (QA)
Nancy Meyer,SUP7081,08/03/2024,101021,fixed term,,Quality Assurance (QA)
Nancy Miller,SUP7277,26/02/2021,458,contract,,Cybersecurity
Nancy Wong,SUP7922,12/01/2022,519,contract,,Web Development
Natalie West,SUP2502,30/03/2022,119584,fixed term,,Mobile Development
Natalie Williams,SUP9438,01/07/2021,640,contract,,IT Support/Helpdesk
Natasha Ayers,SUP4628,07/08/2021,115088,permanent,,Cybersecurity
Natasha Cooke,SUP9747,02/03/2023,110473,fixed term,,IT Support/Helpdesk
Natasha Harris,SUP9856,29/04/2024,108063,permanent,,Cybersecurity
Natasha Jones,SUP4150,22/05/2023,104855,permanent,,Mobile Development
Nathan Ball,SUP8663,20/03/2023,111077,permanent,,Database Administration
Nathan Butler,SUP5066,22/10/2020,605,contract,,Mobile Development
Nathan Clark,SUP8613,18/10/2023,119556,permanent,,Network and Infrastructure
Nathan Gonzalez,SUP2719,12/08/2021,93245,permanent,,Mobile Development
Nathan Hall,SUP2679,12/04/2023,114151,fixed term,,Training and Documentation
Nathan Marshall,SUP1752,22/10/2021,660,contract,,IT Support/Helpdesk
Nathan Ray,SUP5697,01/09/2024,107170,permanent,,Mobile Development
Nathaniel Mullins,SUP7158,21/04/2023,97312,permanent,,Mobile Development
Nathaniel Shannon,SUP5641,25/11/2022,91439,permanent,,Quality Assurance (QA)
Neil Garza,SUP8842,13/01/2022,494,contract,,Database Administration
Nicholas Briggs,SUP7381,06/09/2023,106146,permanent,,Project Management Office (PMO)
Nicholas Brown,SUP2666,04/09/2024,119771,permanent,,Network and Infrastructure
Nicholas Cardenas,SUP7766,21/11/2022,499,contract,,Cybersecurity
Nicholas Davis,SUP2735,05/10/2023,560,contract,,Cybersecurity
Nicholas Ellis,SUP4758,03/07/2022,119762,fixed term,,IT Operations
Nicholas Ford,SUP5704,09/09/2021,119260,permanent,,Quality Assurance (QA)
Nicholas Herrera MD,SUP3227,15/12/2021,641,contract,,Project Management Office (PMO)
Nicholas Lyons,SUP4913,09/06/2024,108560,fixed term,,Business Analysis
Nicholas Miller,SUP6555,06/04/2024,107096,fixed term,,Database Administration
Nicholas Nelson,SUP1874,28/03/2023,95289,fixed term,,Cybersecurity
Nicholas Reyes,SUP3135,01/12/2022,91132,fixed term,,Project Management Office (PMO)
Nicholas Rodriguez,SUP7067,23/07/2021,99162,fixed term,,Network and Infrastructure
Nichole Martin,SUP3964,29/12/2022,408,contract,,Web Development
Nicole Alexander,SUP6191,22/01/2024,119073,fixed term,,Database Administration
Nicole Bowman,SUP9096,21/10/2021,660,contract,,IT Operations
Nicole Clayton,SUP6670,27/06/2024,672,contract,,Project Management Office (PMO)
Nicole Daniel,SUP8970,23/07/2023,90052,permanent,,Network and Infrastructure
Nicole Davis,SUP2175,03/03/2023,98297,permanent,,Quality Assurance (QA)
Nicole Doyle,SUP8503,16/09/2020,99222,fixed term,,Web Development
Nicole Gillespie,SUP8142,27/05/2023,470,contract,,Project Management Office (PMO)
Nicole Guerrero,SUP6644,11/12/2021,109400,fixed term,,Quality Assurance (QA)
Nicole Mckenzie,SUP4334,20/08/2021,430,contract,,Business Analysis
Nicole Oliver,SUP2335,31/10/2021,116912,permanent,,Network and Infrastructure
Nicole Reese,SUP1384,17/08/2021,550,contract,,IT Support/Helpdesk
Nicole Stephenson,SUP6438,29/03/2023,102763,permanent,,Database Administration
Nicole Valenzuela,SUP8246,24/05/2024,450,contract,,Database Administration
Nicole Young DVM,SUP5539,01/03/2021,541,contract,,Training and Documentation
Nina Brown,SUP7406,19/10/2021,416,contract,,Network and Infrastructure
Noah Chandler,SUP4365,26/04/2023,537,contract,,Quality Assurance (QA)
Noah Garcia,SUP2756,02/04/2024,112329,permanent,,Quality Assurance (QA)
Noah Jones,SUP7862,13/05/2024,97899,fixed term,,Training and Documentation
Noah Smith,SUP2942,30/03/2023,97813,fixed term,,IT Operations
Norma Ross,SUP7759,11/09/2024,103145,fixed term,,Mobile Development
Olivia Cherry,SUP2117,26/12/2021,106204,fixed term,,IT Operations
Olivia Williams,SUP1944,28/12/2020,102888,fixed term,,Database Administration
Omar Baker,SUP1914,23/10/2020,91167,fixed term,,Mobile Development
Oscar Briggs,SUP2593,29/06/2022,92030,fixed term,,Database Administration
Oscar Richards,SUP2217,06/10/2023,110911,fixed term,,Business Analysis
Oscar Sanders,SUP9521,02/03/2023,547,contract,,Project Management Office (PMO)
Pam Garza,SUP5397,20/01/2022,94450,fixed term,,Project Management Office (PMO)
Pamela Allen,SUP5931,29/11/2023,96029,permanent,,Database Administration
Pamela Bell,SUP9704,06/06/2022,91662,fixed term,,Training and Documentation
Pamela Carr,SUP6802,24/08/2023,107238,permanent,,Web Development
Pamela Christian,SUP9955,25/12/2020,109700,permanent,,Database Administration
Pamela Harvey,SUP4325,01/01/2023,447,contract,,Cybersecurity
Pamela Hooper,SUP3392,11/01/2022,432,contract,,Web Development
Pamela Jones,SUP1576,18/05/2023,105250,permanent,,Web Development
Pamela Moore,SUP1565,12/01/2024,588,contract,,Project Management Office (PMO)
Pamela Peterson,SUP2393,05/04/2022,100793,permanent,,Business Analysis
Pamela Torres,SUP5404,30/01/2024,91187,permanent,,IT Operations
Patricia Bailey,SUP7464,03/03/2024,572,contract,,Network and Infrastructure
Patricia Carey,SUP3515,03/04/2024,99706,fixed term,,Web Development
Patricia Conley,SUP1954,11/05/2021,112221,permanent,,IT Support/Helpdesk
Patricia Garcia,SUP1315,28/03/2023,106725,fixed term,,Project Management Office (PMO)
Patricia Gentry,SUP8428,11/12/2021,619,contract,,Web Development
Patricia King,SUP2317,14/08/2024,99105,permanent,,Web Development
Patricia Leonard,SUP5996,12/08/2022,96204,fixed term,,Mobile Development
Patricia Nicholson,SUP2500,12/11/2022,560,contract,,Web Development
Patricia Ramirez,SUP1350,09/06/2023,438,contract,,Quality Assurance (QA)
Patricia Rice,SUP3247,31/07/2023,91094,permanent,,Database Administration
Patricia Silva,SUP3165,24/08/2024,102866,permanent,,IT Support/Helpdesk
Patricia Steele,SUP1856,15/03/2021,106596,permanent,,Database Administration
Patricia Vasquez,SUP2673,09/07/2023,90199,permanent,,Quality Assurance (QA)
Patrick Adams,SUP8890,04/04/2021,112978,fixed term,,IT Support/Helpdesk
Patrick Andersen,SUP4638,31/05/2024,108885,permanent,,Business Analysis
Patrick Baird,SUP7982,24/02/2021,101846,fixed term,,Quality Assurance (QA)
Patrick Black,SUP1635,24/06/2022,101524,permanent,,Project Management Office (PMO)
Patrick Clark,SUP4688,08/04/2022,103701,permanent,,IT Support/Helpdesk
Patrick Eaton,SUP7043,30/04/2023,473,contract,,Mobile Development
Patrick Hamilton,SUP6756,18/02/2022,110814,permanent,,IT Operations
Patrick Knox MD,SUP9396,08/04/2022,90676,fixed term,,Mobile Development
Patrick Lewis,SUP8774,16/12/2023,522,contract,,Network and Infrastructure
Patrick Martin,SUP8963,12/01/2021,114259,permanent,,Training and Documentation
Patrick Wagner,SUP5556,05/05/2024,96778,fixed term,,IT Support/Helpdesk
Patrick Weber,SUP1565,12/03/2024,604,contract,,Business Analysis
Patrick Wright,SUP6931,25/07/2024,102858,fixed term,,Quality Assurance (QA)
Paul Barton DVM,SUP5532,09/05/2023,480,contract,,Cybersecurity
Paul Bennett,SUP8193,06/09/2023,482,contract,,Business Analysis
Paul Blackburn,SUP4489,21/03/2021,104864,fixed term,,Database Administration
Paul Blevins,SUP1931,18/10/2021,112740,fixed term,,Database Administration
Paul Bowen,SUP1884,24/07/2021,621,contract,,Database Administration
Paul Brown,SUP7334,02/09/2024,96206,permanent,,IT Support/Helpdesk
Paul Davis,SUP5739,05/07/2023,100477,fixed term,,IT Operations
Paul Hawkins,SUP8332,05/02/2021,99739,fixed term,,Business Analysis
Paul King,SUP8785,06/10/2024,582,contract,,IT Support/Helpdesk
Paul Lee,SUP8068,20/04/2023,104567,fixed term,,IT Support/Helpdesk
Paul Miller,SUP9166,31/10/2024,96912,permanent,,Project Management Office (PMO)
Paul Payne,SUP4719,13/11/2024,99148,fixed term,,Quality Assurance (QA)
Paul Peterson,SUP8277,16/07/2024,424,contract,,Network and Infrastructure
Paul Ramirez,SUP7074,15/03/2021,117617,permanent,,IT Support/Helpdesk
Paul Sanchez,SUP6166,03/06/2024,107141,permanent,,Web Development
Paul Smith,SUP2017,13/03/2024,108949,permanent,,IT Support/Helpdesk
Paul Solis,SUP4147,03/04/2023,92136,fixed term,,Web Development
Paul Walker,SUP3929,14/04/2021,98874,permanent,,Web Development
Paul Ward,SUP8240,24/01/2022,117769,fixed term,,Network and Infrastructure
Paula Gomez,SUP6063,19/02/2023,106856,permanent,,IT Operations
Paula Rios,SUP6584,30/12/2023,112757,fixed term,,Cybersecurity
Paula Tran,SUP3793,15/04/2021,113200,permanent,,Web Development
Peggy Holland,SUP1669,18/01/2023,93667,fixed term,,Network and Infrastructure
Penny Martin,SUP5372,09/05/2022,583,contract,,Database Administration
Peter Johnson,SUP6875,27/08/2021,106668,fixed term,,Web Development
Peter Murray,SUP8693,31/05/2024,113109,permanent,,Training and Documentation
Philip Anderson,SUP1272,14/03/2024,113150,permanent,,Training and Documentation
Philip Hart,SUP8078,09/02/2021,91918,permanent,,Business Analysis
Philip Lindsey,SUP3044,10/11/2021,110068,permanent,,Training and Documentation
Philip Morrison,SUP8531,04/05/2021,107678,fixed term,,IT Operations
Philip Rowland,SUP5173,06/03/2022,119508,permanent,,Web Development
Philip Simpson,SUP1833,27/02/2021,119255,permanent,,Web Development
Philip Thornton,SUP7291,15/02/2021,108510,permanent,,Web Development
Phillip Banks,SUP4624,27/08/2023,103767,permanent,,IT Support/Helpdesk
Phillip Cox,SUP8071,07/09/2020,116323,fixed term,,Cybersecurity
Phillip Mata,SUP6239,28/04/2024,108396,permanent,,Web Development
Phillip Robinson,SUP5260,16/01/2022,587,contract,,Training and Documentation
Phillip Williams,SUP4444,12/04/2024,110108,permanent,,IT Support/Helpdesk
Phyllis Pennington,SUP7784,30/09/2023,90111,fixed term,,IT Operations
Phyllis Weber,SUP3078,25/01/2024,435,contract,,Training and Documentation
Preston Hamilton,SUP4609,06/10/2022,637,contract,,Business Analysis
Rachel Green,SUP3072,12/07/2022,501,contract,,Mobile Development
Rachel Johnson,SUP9997,17/02/2024,107038,permanent,,Cybersecurity
Rachel Jordan,SUP9004,24/06/2021,104622,fixed term,,Network and Infrastructure
Rachel Klein,SUP8811,06/06/2023,96819,permanent,,IT Support/Helpdesk
Rachel Villa,SUP4968,17/04/2021,416,contract,,IT Support/Helpdesk
Ralph Berg,SUP4142,08/01/2024,103375,fixed term,,Web Development
Ralph Francis,SUP5389,15/04/2024,119520,permanent,,Web Development
Randall Dixon,SUP6551,17/02/2021,118426,fixed term,,Network and Infrastructure
Randy Calhoun,SUP9141,18/02/2022,429,contract,,Database Administration
Randy Chapman,SUP2579,10/05/2023,108818,fixed term,,Business Analysis
Randy Dominguez,SUP5454,25/01/2022,90018,fixed term,,Training and Documentation
Randy Luna,SUP9085,02/02/2021,94356,fixed term,,Business Analysis
Randy Moore,SUP7425,18/05/2021,115500,permanent,,Business Analysis
Randy Rivas,SUP3002,24/02/2022,113004,permanent,,Database Administration
Randy Tucker,SUP4615,23/03/2021,621,contract,,Web Development
Raven Patton,SUP5067,23/12/2021,95481,permanent,,IT Operations
Raymond Henry,SUP7477,12/11/2022,110628,fixed term,,Project Management Office (PMO)
Raymond Hodge,SUP9267,28/11/2021,615,contract,,Mobile Development
Raymond Miller,SUP8282,11/05/2024,654,contract,,Web Development
Raymond Ortiz,SUP5472,07/10/2022,98512,fixed term,,Project Management Office (PMO)
Raymond Rodriguez,SUP6351,18/11/2020,400,contract,,Project Management Office (PMO)
Rebecca Bright,SUP3648,31/07/2024,487,contract,,Mobile Development
Rebecca Brown,SUP7811,01/01/2024,646,contract,,IT Operations
Rebecca Conrad,SUP9932,28/01/2024,650,contract,,Training and Documentation
Rebecca David,SUP3911,16/08/2021,118110,fixed term,,Cybersecurity
Rebecca Davidson,SUP3517,21/06/2022,398,contract,,Training and Documentation
Rebecca Edwards,SUP4602,25/12/2022,96278,fixed term,,Business Analysis
Rebecca Elliott,SUP8944,24/06/2022,624,contract,,Mobile Development
Rebecca Fox,SUP8917,25/02/2024,118576,permanent,,Web Development
Rebecca Gibbs,SUP3888,09/07/2023,96241,fixed term,,Web Development
Rebecca Gregory,SUP6054,20/01/2022,432,contract,,Database Administration
Rebecca Harrison,SUP2364,04/05/2023,102073,permanent,,Business Analysis
Rebecca Holt,SUP6925,08/07/2021,607,contract,,Business Analysis
Rebecca Meyer,SUP7812,09/07/2022,472,contract,,Mobile Development
Rebecca Miller,SUP4311,13/12/2022,91966,permanent,,Project Management Office (PMO)
Rebecca Reed,SUP4659,20/05/2024,101561,fixed term,,Project Management Office (PMO)
Rebecca Sanders,SUP6433,22/09/2023,92680,fixed term,,Network and Infrastructure
Rebecca Steele,SUP6025,24/09/2023,644,contract,,Web Development
Rebecca Wong,SUP9709,16/04/2023,96432,fixed term,,Web Development
Rebecca Yu,SUP4752,12/03/2023,96914,permanent,,Quality Assurance (QA)
Rebekah Cross,SUP5966,05/06/2024,113235,fixed term,,IT Support/Helpdesk
Rebekah Rodriguez,SUP3006,08/09/2021,108314,permanent,,IT Operations
Regina Bray,SUP6067,13/09/2024,593,contract,,Mobile Development
Regina Jimenez,SUP5390,20/06/2024,111934,fixed term,,Network and Infrastructure
Regina Massey,SUP1084,18/05/2022,106404,permanent,,Web Development
Regina Matthews,SUP9425,12/10/2021,119865,permanent,,IT Support/Helpdesk
Regina Mclaughlin,SUP6324,27/02/2021,101665,fixed term,,Cybersecurity
Regina Rocha,SUP4792,06/11/2022,668,contract,,Network and Infrastructure
Renee Bowman,SUP3818,04/02/2024,115324,fixed term,,Business Analysis
Renee Mclaughlin,SUP7000,30/04/2021,112047,fixed term,,IT Operations
Renee Reyes,SUP1218,08/03/2022,642,contract,,IT Support/Helpdesk
Renee Vargas,SUP4783,12/10/2023,552,contract,,Business Analysis
Rhonda Cook,SUP2952,18/01/2022,95209,fixed term,,Database Administration
Rhonda Moore,SUP1124,27/10/2022,519,contract,,Web Development
Rhonda Newman,SUP4180,27/04/2024,599,contract,,Web Development
Rhonda Stokes,SUP2541,30/07/2023,594,contract,,Network and Infrastructure
Ricardo Mendez,SUP5630,30/07/2021,94374,fixed term,,Web Development
Richard Anderson,SUP3979,14/01/2021,117414,permanent,,Business Analysis
Richard Arnold,SUP6637,14/02/2021,612,contract,,IT Support/Helpdesk
Richard Bell,SUP9415,12/04/2022,114634,fixed term,,Training and Documentation
Richard Brown,SUP4142,09/12/2023,115427,fixed term,,Training and Documentation
Richard Carlson,SUP5090,13/04/2023,101955,fixed term,,Quality Assurance (QA)
Richard Edwards,SUP3616,30/01/2023,109426,permanent,,Mobile Development
Richard Evans,SUP4132,18/04/2022,110513,permanent,,Web Development
Richard Flores,SUP5677,25/12/2023,117807,fixed term,,Web Development
Richard Forbes,SUP2711,21/10/2023,532,contract,,IT Operations
Richard Frazier,SUP6732,28/03/2024,665,contract,,Training and Documentation
Richard Hoffman,SUP4686,25/08/2021,108704,fixed term,,Training and Documentation
Richard Johnson,SUP2943,01/11/2022,107215,permanent,,Training and Documentation
Richard Lopez,SUP1248,16/08/2022,102103,fixed term,,Web Development
Richard Morgan,SUP2589,27/12/2023,491,contract,,Network and Infrastructure
Richard Newton,SUP2164,25/09/2021,90172,fixed term,,Mobile Development
Richard Osborne,SUP9790,27/03/2022,91579,permanent,,IT Support/Helpdesk
Richard Powell,SUP5481,26/10/2023,105319,fixed term,,Network and Infrastructure
Richard Smith,SUP7596,31/03/2023,567,contract,,Mobile Development
Richard Walker,SUP4993,26/10/2023,629,contract,,Network and Infrastructure
Rick Hayes,SUP7035,02/11/2020,597,contract,,Database Administration
Ricky Long,SUP7828,21/10/2023,103427,fixed term,,Training and Documentation
Ricky Miller,SUP7947,05/10/2021,541,contract,,Quality Assurance (QA)
Riley Bennett,SUP6654,14/09/2023,102147,fixed term,,IT Operations
Rita Caldwell,SUP3809,02/04/2023,544,contract,,Database Administration
Rita Smith,SUP6187,30/11/2022,104956,permanent,,IT Support/Helpdesk
Robert Black,SUP5407,21/11/2022,117984,fixed term,,Business Analysis
Robert Blackburn,SUP2701,24/11/2022,387,contract,,Database Administration
Robert Boyd,SUP1892,20/09/2023,398,contract,,Quality Assurance (QA)
Robert Bright,SUP6300,06/01/2021,94228,fixed term,,Network and Infrastructure
Robert Cameron,SUP3313,08/01/2024,117928,fixed term,,Training and Documentation
Robert Conley,SUP2321,16/05/2022,99461,permanent,,Quality Assurance (QA)
Robert Davis,SUP9111,15/05/2021,399,contract,,Mobile Development
Robert Evans,SUP4129,30/09/2022,110581,fixed term,,IT Operations
Robert Hall,SUP6010,13/11/2021,118589,fixed term,,Web Development
Robert House,SUP8007,29/08/2023,520,contract,,IT Support/Helpdesk
Robert Hurst,SUP1999,18/02/2024,105363,fixed term,,Project Management Office (PMO)
Robert Johnson,SUP7984,18/04/2021,462,contract,,Web Development
Robert Johnston,SUP9514,16/04/2024,409,contract,,Web Development
Robert Kane,SUP8911,21/07/2021,103915,permanent,,Cybersecurity
Robert Larson,SUP3115,17/05/2022,115102,fixed term,,IT Operations
Robert Lucero,SUP7043,31/03/2023,107448,fixed term,,Business Analysis
Robert Mack,SUP1803,20/01/2021,491,contract,,Network and Infrastructure
Robert Miller,SUP6805,06/07/2022,111538,fixed term,,Training and Documentation
Robert Munoz,SUP7277,28/03/2021,90844,permanent,,Project Management Office (PMO)
Robert Nelson,SUP8895,30/07/2024,105658,fixed term,,Project Management Office (PMO)
Robert Peterson,SUP7754,20/01/2023,111712,fixed term,,Database Administration
Robert Roberts,SUP7078,22/05/2022,95501,fixed term,,Web Development
Robert Rodriguez,SUP9916,28/02/2024,512,contract,,IT Operations
Robert Ruiz,SUP4756,06/01/2022,110429,fixed term,,Web Development
Robert Schultz,SUP5524,15/10/2022,119316,fixed term,,Cybersecurity
Robert Small,SUP6349,09/05/2021,424,contract,,Cybersecurity
Robert Smith,SUP9939,27/01/2022,90878,permanent,,Training and Documentation
Robert Thompson,SUP8545,13/04/2021,634,contract,,Database Administration
Robert Tucker,SUP8911,21/07/2021,97152,permanent,,Cybersecurity
Robert Velazquez,SUP7878,04/03/2021,117493,permanent,,Quality Assurance (QA)
Robert Vincent,SUP7903,09/07/2023,572,contract,,Quality Assurance (QA)
Robert Walters MD,SUP4931,07/04/2021,92063,permanent,,Database Administration
Robert Webb,SUP7227,04/02/2024,448,contract,,Web Development
Robert Whitehead,SUP8266,29/04/2023,107986,permanent,,Cybersecurity
Robert Williams,SUP2484,09/07/2022,104695,permanent,,Database Administration
Robert Young,SUP5512,23/06/2022,107977,fixed term,,Cybersecurity
Roberto Ashley,SUP8172,21/01/2022,506,contract,,Quality Assurance (QA)
Roberto Mitchell,SUP9196,30/11/2023,595,contract,,IT Operations
Robin Chavez,SUP4693,01/01/2022,107503,fixed term,,IT Support/Helpdesk
Robin Ford,SUP3670,14/05/2023,111474,permanent,,Network and Infrastructure
Robin Gonzales,SUP8553,06/12/2023,516,contract,,Database Administration
Robin Gonzalez,SUP8983,04/02/2022,93426,fixed term,,Database Administration
Robin Harrison,SUP7187,21/11/2021,556,contract,,Quality Assurance (QA)
Robin Johnson,SUP2677,21/06/2021,94921,fixed term,,Web Development
Robin Nelson,SUP7141,04/11/2023,665,contract,,Mobile Development
Robin Owens,SUP1989,29/07/2021,109855,fixed term,,Project Management Office (PMO)
Robin Trevino,SUP7424,20/04/2021,107097,permanent,,Business Analysis
Robin Young,SUP1006,29/11/2023,571,contract,,Web Development
Robyn Hendrix,SUP3679,09/04/2022,97552,permanent,,Web Development
Robyn King,SUP7694,28/09/2020,106161,permanent,,IT Operations
Rodney Austin,SUP9120,24/08/2021,119692,permanent,,Web Development
Rodney Banks,SUP2780,26/09/2022,520,contract,,Business Analysis
Rodney Burke,SUP1683,17/07/2024,663,contract,,Cybersecurity
Rodney Gomez,SUP7714,27/05/2022,95130,fixed term,,Project Management Office (PMO)
Rodney Jones,SUP7440,04/07/2023,105233,fixed term,,Training and Documentation
Rodney Middleton,SUP2468,26/12/2020,509,contract,,Quality Assurance (QA)
Rodney Morales,SUP9166,01/10/2024,114383,fixed term,,IT Support/Helpdesk
Rodney Pearson MD,SUP9975,21/06/2023,109108,permanent,,Web Development
Rodney Smith,SUP7217,30/08/2023,104683,fixed term,,Cybersecurity
Roger Stevenson,SUP1234,10/05/2024,110782,permanent,,Mobile Development
Ronald Bailey,SUP1978,20/08/2023,585,contract,,Cybersecurity
Ronald Brewer,SUP2115,09/11/2024,548,contract,,Mobile Development
Ronald Garcia,SUP5525,03/09/2021,116884,permanent,,Business Analysis
Ronald Golden,SUP3783,27/03/2022,115624,permanent,,Quality Assurance (QA)
Ronald Graves,SUP3029,09/03/2024,105906,fixed term,,Network and Infrastructure
Ronald Hall,SUP6068,10/02/2024,476,contract,,Cybersecurity
Ronald Hodge,SUP7147,20/10/2023,104221,permanent,,IT Operations
Ronald Jackson,SUP4718,19/06/2023,93144,fixed term,,Database Administration
Ronald Thomas,SUP5855,01/05/2021,96237,permanent,,IT Operations
Ronald West,SUP4896,21/05/2024,101794,permanent,,Network and Infrastructure
Ronald White,SUP6007,09/04/2024,91487,fixed term,,Project Management Office (PMO)
Ronnie Hatfield,SUP1039,16/02/2024,100827,permanent,,IT Support/Helpdesk
Rose Anderson,SUP7792,20/07/2022,118461,fixed term,,Mobile Development
Rose Bender,SUP7015,24/05/2021,100998,fixed term,,Quality Assurance (QA)
Rose Buck,SUP5217,04/01/2024,101122,fixed term,,Cybersecurity
Roy Hooper,SUP6045,22/03/2024,106356,fixed term,,IT Operations
Ruben Taylor,SUP7593,22/02/2021,468,contract,,Cybersecurity
Ruth Dean,SUP9704,06/06/2022,521,contract,,Web Development
Ruth Valdez,SUP6625,16/05/2021,90831,permanent,,Mobile Development
Ryan Brady,SUP2814,15/05/2022,98283,fixed term,,Cybersecurity
Ryan Browning,SUP1009,21/03/2024,91923,fixed term,,Mobile Development
Ryan Buck,SUP5776,02/05/2022,107374,permanent,,Network and Infrastructure
Ryan Davis,SUP9055,11/07/2023,113042,permanent,,Quality Assurance (QA)
Ryan Garcia,SUP6307,07/07/2022,112835,fixed term,,IT Operations
Ryan Gonzales,SUP8856,21/05/2023,453,contract,,Cybersecurity
Ryan Harper,SUP6522,02/04/2021,96623,fixed term,,Database Administration
Ryan Jacobson,SUP1223,07/12/2021,107877,permanent,,Web Development
Ryan King,SUP8148,11/05/2024,103022,fixed term,,Database Administration
Ryan Lopez,SUP7377,28/07/2021,388,contract,,Project Management Office (PMO)
Ryan Maldonado,SUP4843,29/08/2022,117543,permanent,,IT Support/Helpdesk
Ryan Martinez,SUP2800,24/08/2023,512,contract,,Web Development
Ryan Mueller,SUP4851,14/02/2022,390,contract,,Database Administration
Ryan Myers,SUP3798,27/11/2024,508,contract,,Network and Infrastructure
Ryan Perez,SUP8835,11/02/2022,118183,permanent,,Network and Infrastructure
Ryan Price,SUP3839,29/12/2020,540,contract,,Cybersecurity
Ryan Thompson,SUP7944,08/04/2023,99744,fixed term,,IT Support/Helpdesk
Ryan Wade,SUP1157,12/04/2024,105848,permanent,,Quality Assurance (QA)
Ryan Walsh,SUP6690,03/11/2021,98243,fixed term,,Web Development
Ryan Watson,SUP6714,24/07/2021,420,contract,,Database Administration
Ryan Williams,SUP7148,11/02/2022,389,contract,,Network and Infrastructure
Sabrina Frey,SUP1168,25/06/2021,489,contract,,Database Administration
Sabrina Green,SUP6487,23/10/2023,111208,permanent,,Web Development
Sabrina Rice,SUP4526,22/12/2020,110786,permanent,,Mobile Development
Sally Martinez,SUP7757,25/04/2022,113755,permanent,,Quality Assurance (QA)
Sally Shah,SUP8434,30/01/2022,513,contract,,Network and Infrastructure
Samantha Adams,SUP6340,31/05/2024,92395,fixed term,,Training and Documentation
Samantha Boone,SUP8577,14/03/2023,97819,fixed term,,Training and Documentation
Samantha Browning,SUP4082,15/12/2022,104481,permanent,,Quality Assurance (QA)
Samantha Byrd,SUP4772,30/09/2024,107672,permanent,,Cybersecurity
Samantha Hardy,SUP9008,25/07/2022,433,contract,,Mobile Development
Samantha Hayes,SUP6452,07/09/2023,95168,fixed term,,Cybersecurity
Samantha Mendoza,SUP6511,08/10/2021,101643,permanent,,Web Development
Samantha Trujillo,SUP4607,13/05/2021,625,contract,,IT Support/Helpdesk
Samuel Ortega,SUP4647,07/07/2021,109935,fixed term,,Project Management Office (PMO)
Samuel Phillips,SUP7775,11/02/2022,109440,permanent,,Business Analysis
Samuel Pratt,SUP6600,09/11/2021,544,contract,,Project Management Office (PMO)
Sandra Cruz,SUP8181,02/07/2023,101478,fixed term,,Cybersecurity
Sandra Haynes,SUP9722,26/03/2024,672,contract,,Mobile Development
Sandra Montgomery,SUP3306,30/04/2022,107812,permanent,,Project Management Office (PMO)
